term,int_rate,installment,emp_length,home_ownership,annual_inc,purpose,dti,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mort_acc,pub_rec_bankruptcies,loan_status
0.5607634016278417,8.9,139.72,0.5203319502074689,0.4795461808884628,44000.0,0.4732154058461924,22.94,0.5009140767824497,4318.0,58.4,0.497005988023952,0.4984549560256715,0.4831541218637993,0.5008710141634477,1
0.5607634016278417,15.31,139.27,0.5068359375,0.4795461808884628,15000.0,0.4732154058461924,31.2,0.5009140767824497,4328.0,92.1,0.4926470588235294,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,6.62,313.18,0.5131810193321616,0.5238557334627204,111800.0,0.5818843509906996,9.3,0.5009140767824497,32387.0,40.5,0.5185185185185185,0.4984549560256715,0.5421822272215973,0.5008710141634477,1
0.5607634016278417,8.9,698.58,0.5285285285285285,0.5238557334627204,100000.0,0.5753623188405798,9.42,0.5009140767824497,12781.0,63.9,0.5098039215686274,0.5207226354941552,0.5416078984485191,0.5008710141634477,1
0.5607634016278417,9.76,437.31,0.5203319502074689,0.4795461808884628,36096.0,0.4732154058461924,27.26,0.5009140767824497,3174.0,43.5,0.4770642201834862,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,8.9,192.91,0.5023255813953489,0.5238557334627204,30000.0,0.454320987654321,21.8,0.5009140767824497,8789.0,28.6,0.47953216374269,0.4984549560256715,0.4974039460020768,0.5008710141634477,1
0.5607634016278417,10.16,190.82,0.5177956371986223,0.5238557334627204,60000.0,0.5818843509906996,22.96,0.4726840855106888,5910.0,37.6,0.4926470588235294,0.4984549560256715,0.5003878975950349,0.4702549575070821,1
0.273929690219283,19.42,235.55,0.5131810193321616,0.4795461808884628,30000.0,0.4732154058461924,9.84,0.5009140767824497,8124.0,78.9,0.525233644859813,0.4984549560256715,0.4974039460020768,0.5008710141634477,1
0.5607634016278417,12.12,332.72,0.5285285285285285,0.4795461808884628,45000.0,0.5818843509906996,24.03,0.5009140767824497,10731.0,74.0,0.5579710144927537,0.4984549560256715,0.4974039460020768,0.5008710141634477,1
0.5607634016278417,12.12,266.18,0.5131810193321616,0.4795461808884628,62940.0,0.4732154058461924,20.25,0.5009140767824497,9785.0,23.0,0.4775510204081633,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.273929690219283,20.99,946.68,0.4795673076923077,0.4795461808884628,90000.0,0.5818843509906996,12.99,0.5009140767824497,8908.0,57.5,0.5098039215686274,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,16.29,316.83,0.5131810193321616,0.4840182648401826,26000.0,0.5753623188405798,8.05,0.5009140767824497,5901.0,69.4,0.4770642201834862,0.5207226354941552,0.4831541218637993,0.5008710141634477,1
0.273929690219283,24.33,550.24,0.4903595622720166,0.5238557334627204,55000.0,0.4732154058461924,14.73,0.5009140767824497,6508.0,93.0,0.44,0.4984549560256715,0.5003878975950349,0.5008710141634477,0
0.5607634016278417,14.09,410.66,0.4521276595744681,0.4795461808884628,70000.0,0.4732154058461924,31.8,0.4726840855106888,14195.0,84.5,0.4469135802469136,0.4984549560256715,0.4831541218637993,0.4702549575070821,1
0.5607634016278417,14.65,1069.32,0.5177956371986223,0.4795461808884628,60000.0,0.4732154058461924,28.38,0.5009140767824497,16272.0,60.1,0.5077519379844961,0.4984549560256715,0.4974039460020768,0.5008710141634477,0
0.5607634016278417,14.33,343.39,0.5203319502074689,0.4795461808884628,37500.0,0.5818843509906996,22.3,0.5009140767824497,9139.0,40.1,0.4709302325581395,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,18.49,432.24,0.4795673076923077,0.4795461808884628,77000.0,0.4732154058461924,5.36,0.5009140767824497,10851.0,35.1,0.5053191489361702,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,10.74,587.09,0.4903595622720166,0.5238557334627204,52554.0,0.4732154058461924,26.49,0.5009140767824497,4574.0,32.7,0.5222222222222223,0.4984549560256715,0.5421822272215973,0.5008710141634477,0
0.273929690219283,23.28,533.72,0.5285285285285285,0.4795461808884628,48000.0,0.5818843509906996,25.2,0.5009140767824497,17212.0,86.9,0.4903100775193798,0.4984549560256715,0.4831541218637993,0.5008710141634477,0
0.5607634016278417,16.29,75.02,0.4521276595744681,0.4840182648401826,12300.0,0.4732154058461924,26.93,0.5009140767824497,4217.0,82.7,0.4854111405835544,0.4984549560256715,0.4831541218637993,0.5008710141634477,1
